excel_row,sku,brand,category,description,cost_usd,reason
14,AN-ACC-SW-EAR-L-8,Araknis,Redes,[AN-ACC-SW-EAR-L-8] Araknis Networks Left Justified Rack Mount Ears,18.52,SKU repetido con datos diferentes
15,AN-ACC-SW-EAR-L-8,Araknis,Redes,[AN-ACC-SW-EAR-L-8] Araknis Networks Left Justified Rack Mount Ears,8.01,SKU repetido con datos diferentes
167,B-660-EXT-444-100A,Binary,Redes,[B-660-EXT-444-100A] Binary B-660 Series 4K HDR HDBaseT Extender with IR & RS-232,605.04,SKU repetido con datos diferentes
169,B-660-EXT-444-100A,Binary,Redes,[B-660-EXT-444-100A] Binary B-660 Series 4K HDR HDBaseT Extender with IR & RS-232,822.01,SKU repetido con datos diferentes
95,B8-FIBER-4KHDR-30,Binary,Redes,[B8-FIBER-4KHDR-30] Binary B8 Series Active 4K Ultra HD with HDR High Speed Fiber Optic HDMI Cables 30m,346.7,SKU repetido con datos diferentes
98,B8-FIBER-4KHDR-30,Binary,Redes,[B8-FIBER-4KHDR-30] Binary B8 Series Active 4K Ultra HD with HDR High Speed Fiber Optic HDMI Cables 30m,406.76,SKU repetido con datos diferentes
282,C4-FP1,Control4,Domótica C4,Faceplate 1 Gang,7.52,SKU repetido con datos diferentes
283,C4-FP1,Control4,Domótica C4,Faceplate 1 Gang (Metal),40.22,SKU repetido con datos diferentes
280,C4-FP1-C,Control4,Domótica C4,Faceplate Contemporary 1 Gang,7.52,SKU repetido con datos diferentes
281,C4-FP1-C,Control4,Domótica C4,Faceplate Contemporary 1 Gang (Metal),34.51,SKU repetido con datos diferentes
631,EA-COM-WP-SPL,Episode,Audio,[EA-COM-WP-SPL] Episode Business Music Solution SPL Sensor Wall Plate,189.0,SKU repetido con datos diferentes
635,EA-COM-WP-SPL,Episode,Audio,Episode Business Music Solution SPL Sensor Wall Plate,189.0,SKU repetido con datos diferentes
523,ES-HT-IRATM-4,Episode,Audio,[ES-HT-IRATM-4] Episode Home Theater Series 4” In-Room Height Speaker (Each),353.1,SKU repetido con datos diferentes
524,ES-HT-IRATM-4,Episode,Audio,[ES-HT-IRATM-4] Episode Home Theater Series 4” In-Room Height Speaker (Each),353.1,SKU repetido con datos diferentes
525,ES-HT-IRATM-4,Episode,Audio,[ES-HT-IRATM-4] Episode Home Theater Series 4” In-Room Height Speaker (Each),527.87,SKU repetido con datos diferentes
520,ES-HT-IRLCR-6,Episode,Audio,[ES-HT-IRLCR-6] Episode Home Theater Series 6” In-Room LCR Speaker (Each),536.76,SKU repetido con datos diferentes
521,ES-HT-IRLCR-6,Episode,Audio,[ES-HT-IRLCR-6] Episode Home Theater Series 6” In-Room LCR Speaker (Each),536.76,SKU repetido con datos diferentes
522,ES-HT-IRLCR-6,Episode,Audio,[ES-HT-IRLCR-6] Episode Home Theater Series 6” In-Room LCR Speaker (Each),783.16,SKU repetido con datos diferentes
511,ES-HT-IRTWR-6,Episode,Audio,[ES-HT-IRTWR-6] Episode Home Theater Series 6” In-Room Tower Speaker (Each),766.0,SKU repetido con datos diferentes
512,ES-HT-IRTWR-6,Episode,Audio,[ES-HT-IRTWR-6] Episode Home Theater Series 6” In-Room Tower Speaker (Each),1150.67,SKU repetido con datos diferentes
513,ES-HT-IRTWR-6,Episode,Audio,[ES-HT-IRTWR-6] Episode Home Theater Series 6” In-Room Tower Speaker (Each),1150.67,SKU repetido con datos diferentes
497,ES-HTR-IRTWR-6,Episode,Audio,"[ES-HTR-IRTWR-6] Episode Home Theater Reference In-Room Tower Speaker - 6"" | (Each)",1684.06,SKU repetido con datos diferentes
498,ES-HTR-IRTWR-6,Episode,Audio,"[ES-HTR-IRTWR-6] Episode Home Theater Reference In-Room Tower Speaker - 6"" | (Each)",2445.47,SKU repetido con datos diferentes
